"REG_MEAS_ID"	"REG_MEAS_TYPE"	"WDID"	"RECEIVED_DATE"	"PROCESSED_DATE"	"TERMINATION_DATE"	"STATUS_CODE_NAME"	"STATUS_DATE"	"REGION"	"COUNTY_CODE"	"FACILITY_NAME"	"PLACE_SIZE"	"PLACE_SIZE_UNIT"	"FACILITY_ADDRESS"	"FACILITY_CITY"	"FACILITY_STATE"	"FACILITY_ZIP"	"FACILITY_COUNTY"	"FACILITY_CONTACT_NAME"	"FACILITY_CONTACT_TITLE"	"FACILITY_CONTACT_PHONE"	"FACILITY_CONTACT_PHONE_EXT"	"FACILITY_CONTACT_EMAIL"	"OPERATOR_NAME"	"OPERATOR_ADDRESS"	"OPERATOR_CITY"	"OPERATOR_STATE"	"OPERATOR_ZIP"	"OPERATOR_CONTACT_NAME"	"OPERATOR_CONTACT_TITLE"	"OPERATOR_CONTACT_PHONE"	"OPERATOR_CONTACT_PHONE_EXT"	"OPERATOR_CONTACT_EMAIL"	"OPERATOR_TYPE"	"DEVELOPER_NAME"	"DEVELOPER_ADDRESS"	"DEVELOPER_CITY"	"DEVELOPER_STATE"	"DEVELOPER_ZIP"	"DEVELOPER_CONTACT_NAME"	"DEVELOPER_CONTACT_TITLE"	"CONSTYPE_LINEAR_UTILITY_IND"	"EMERGENCY_PHONE_NO"	"EMERGENCY_PHONE_EXT"	"CONSTYPE_ABOVE_GROUND_IND"	"CONSTYPE_BELOW_GROUND_IND"	"CONSTYPE_CABLE_LINE_IND"	"CONSTYPE_COMM_LINE_IND"	"CONSTYPE_COMMERTIAL_IND"	"CONSTYPE_ELECTRICAL_LINE_IND"	"CONSTYPE_GAS_LINE_IND"	"CONSTYPE_INDUSTRIAL_IND"	"CONSTYPE_OTHER_DESRIPTION"	"CONSTYPE_OTHER_IND"	"CONSTYPE_RECONS_IND"	"CONSTYPE_RESIDENTIAL_IND"	"CONSTYPE_TRANSPORT_IND"	"CONSTYPE_UTILITY_DESCRIPTION"	"CONSTYPE_UTILITY_IND"	"CONSTYPE_WATER_SEWER_IND"	"DIR_DISCHARGE_USWATER_IND"	"RECEIVING_WATER_NAME"	"CERTIFIER_NAME"	"CERTIFIER_TITLE"	"CERTIFICATION_DATE"	"PRIMARY_SIC"	"SECONDARY_SIC"	"TERTIARY_SIC"	"DateTimeEntered"
214860.00	"Industrial"	"9 30I005770"	5/9/2008 0:00:00	11/17/1992 0:00:00		"Active"	11/17/1992 0:00:00	9.00	30.00	"San Clemente City Wastewater Reclamation Plant M02"	14.00	"Acres"	" 380 Ave Pico Bldg N"	"San Clemente"	"California"	92672.00	"Orange"	"Brandon Howard"	"LRO"	"949-245-9132"		"howardb@san-clemente.org"	"San Clemente City"	" 380 Ave  Pico Bldg N"	"San Clemente"	"California"	92672.00	"Brandon Howard"	"LRO"	"949-245-9132"		"howardb@san-clemente.org"	"City/Town Agency"		" "		"California"		" "			"949-245-9132"																		"Y"	"Pacific Ocean"	"Brandon Howard"	"Utilities Wastewater Operations Supervisor"	"26-JUL-16 12.04.06.372000 PM"	"4952-Sewerage Systems"			8/14/2017 12:48:37
214861.00	"Industrial"	"9 30I005771"	5/9/2008 0:00:00	4/7/1992 0:00:00		"Active"	4/7/1992 0:00:00	9.00	30.00	"Santa Margarita Water Dist Chi"	60.00	"Acres"	" 28793 Ortega Hwy"	"San Juan Capistrano"	"California"	92675.00	"Orange"	"Ronnie Johnson"		"949-459-6501"			"Santa Margarita Water District"	" PO Box 7005"	"Mission Viejo"	"California"	92690.00	"Ronnie Johnson"	"Chief Plant Operator"	"949-459-6501"		"ronj@smwd.com"	"Other"		" "		"California"		" "			"949-283-8716"																		"N"	"San Juan Creek"	"Ron Johnson"	"Chief Operator"	"06-JUL-17 09.09.54.660000 AM"	"4952-Sewerage Systems"			8/14/2017 12:48:38
214862.00	"Industrial"	"9 30I005772"	5/9/2008 0:00:00	4/7/1992 0:00:00		"Active"	4/7/1992 0:00:00	9.00	30.00	"Oso Creek Water Reclamation Plant"	2.00	"Acres"	" 27204 La Paz Rd"	"Mission Viejo"	"California"	92692.00	"Orange"	"Ron Johnson"	"Wastewater Operations Supervisor"	"949-283-8716"		"ronj@smwd.com"	"Santa Margarita Water District"	" PO Box 7005"	"Mission Viejo"	"California"	92690.00	"Ron Johnson"		"949-581-4872"		"ronj@smwd.com"	"Other"		" "		"California"		" "			"949-581-4872"																		"N"	"Oso Creek"	"Ron Johnson"	"Wastewater Treatment Plant Supervisor"	"01-JUN-15 03.24.58.175000 PM"	"4952-Sewerage Systems"			8/14/2017 12:48:38
214863.00	"Industrial"	"9 30I005779"	5/9/2008 0:00:00	4/7/1992 0:00:00		"Active"	4/7/1992 0:00:00	9.00	30.00	"Reg Treatment Plant "	12.00	"Acres"	" 29201 La Paz Rd"	"Laguna Niguel"	"California"	92677.00	"Orange"	"Jim Burror"	"Director of Operations"	"949-234-4502"		"jburror@socwa.com"	"South Orange Cnty Wastewater Authority"	" 34156 Del Obispo St"	"Dana Point"	"California"	92629.00	"Jim  Burror"		"949-234-5402"		"jburror@socwa.com"	"Other"		" "		"California"		" "			"949-234-5461"																		"N"	"Sulphur Creek Channel"	"Amber Baylor"	"Director of Environmental Compliance"	"09-MAR-17 03.29.32.445000 PM"	"4952-Sewerage Systems"			8/14/2017 12:48:38
214864.00	"Industrial"	"9 30I005780"	5/9/2008 0:00:00	4/7/1992 0:00:00		"Active"	4/7/1992 0:00:00	9.00	30.00	"Coastal Treatment Plant "	11.00	"Acres"	" 28303 Alicia Pkwy"	"Laguna Niguel"	"California"	92677.00	"Orange"	"Brennon Flahive"		"949-234-5419"		"bflahive@socwa.com"	"South Orange Cnty Wastewater Authority"	" 34156 Del Obispo St"	"Dana Point"	"California"	92629.00	"Amber Baylor"	"Director of Environmental Compliance"	"949-234-5409"		"abaylor@socwa.com"	"Other"		" "		"California"		" "			"949-234-5419"																		"Y"	"Aliso Creek"	"Amber Baylor"	"Director of Environmental Compliance"	"09-MAR-17 03.29.34.519000 PM"	"4952-Sewerage Systems"			8/14/2017 12:48:38
291074.00	"Industrial"	"9 30I006160"	5/9/2008 0:00:00	4/21/1992 0:00:00		"Terminated"	4/21/1992 0:00:00	9.00	30.00	"Dana Point "	10608.00	"SqFt"	" 34661 Puerto Pl"	"Dana Point"	"California"	92629.00	"Orange"	"John Van Dixhorn"		"949-496-6113"			"Davidson, Ralph "	" 34661 Puerto Pl"	"Dana Point"	"California"	92629.00	"John Van Dixhorn"		"949-496-6113"			"Private Business"		" "		"California"		" "			"949-496-6113"																			"Dana Point"				"4499-Water Transportation Services, NEC"			8/14/2017 12:48:38
214866.00	"Industrial"	"9 30I006261"	5/9/2008 0:00:00	4/22/1992 0:00:00		"Active"	4/22/1992 0:00:00	9.00	30.00	"Catalina Pacific Concrete "	16.00	"Acres"	" 31511 Ortega Hwy"	"San Juan Capistrano"	"California"	92675.00	"Orange"	"Paul Miller"	"Operations Manager"	"626-852-6200"		"tsenter@calportland.com"	"CalPortland Co"	" 2025 E Financial Wy"	"Glendora"	"California"	91741.00	"Irene Zamorano"	"Enviromental Manager"	"626-733-3782"		"izamorano@calportland.com"	"Private Business"		" "		"California"		" "			"626-852-6200"																		"N"	"San Juan Creek"	"Paul Miller"	"Environmental Manager"	"21-JAN-16 08.02.52.037000 AM"	"3273-Ready-Mixed Concrete"			8/14/2017 12:48:38
214867.00	"Industrial"	"9 30I011101"	5/9/2008 0:00:00	8/10/1994 0:00:00		"Active"	8/10/1994 0:00:00	9.00	30.00	"Ewles Materials San Juan Cap "	5.00	"Acres"	" 32501 Ortega Hwy"	"San Juan Capistrano"	"California"	92675.00	"Orange"	"Brett Heisinger"		"949-728-0436"		"bretth@ewlesmaterials.com"	"Ewles Materials "	" PO Box 578"	"Stanton"	"California"	90680.00	"Larry  Ewles"		"714-894-1988"			"Private Business"		" "		"California"		" "			"909-664-3086"																		"N"	"San Juan River"	"Brett Heisinger"	"Operations Supervisor"	"04-MAR-15 11.40.01.514000 AM"	"3271-Concrete Block and Brick"			8/14/2017 12:48:38
214869.00	"Industrial"	"9 30I011368"	5/9/2008 0:00:00	1/25/1995 0:00:00	8/11/2014 0:00:00	"Terminated"	8/11/2014 0:00:00	9.00	30.00	"Meggitt San Juan Capistrano Inc"	15.00	"Acres"	" 30700 Rancho Viejo Rd"	"San Juan Capistrano"	"California"	92675.00	"Orange"	"Michael Gooch"		"949-493-8181"		"michael.gooch@meggitt.com"	"Meggitt USA Inc"	" 1955 Surveyor Ave"	"Simi Valley"	"California"	93063.00	"Bob Soukup"		"805-526-5700"			"Private Business"		" "		"California"		" "			"949-493-8181"																			"Pacific Ocean"	"Michael Gooch"		"07-JUN-12 03.16.44.023000 PM"	"3829-Measuring and Controlling Devices, NEC"	"3825-Instruments for Measuring and Testing of Electricity and Electrical Signals"		8/14/2017 12:48:37
214871.00	"Industrial"	"9 30I013199"	5/9/2008 0:00:00	6/5/1997 0:00:00		"Active"	6/5/1997 0:00:00	9.00	30.00	"Robertsons Ready Mix San Cleme"	3.00	"Acres"	" 116 Rincon Ct"	"San Clemente"	"California"	92672.00	"Orange"	"Roger Hortick"		"951-493-6500"		"roger@rrmca.com"	"Robertsons Ready Mix"	" PO Box 3600"	"Corona"	"California"	92878.00	"Roger Hortick"	"Director"	"951-493-6500"		"roger@rrmca.com"	"Private Business"		" "		"California"		" "																					"N"	"San Diego Creek "	"Roger Hortick"	"Environmental Director "	"09-FEB-17 09.19.21.619000 AM"	"3273-Ready-Mixed Concrete"			8/14/2017 12:48:38
214872.00	"Industrial"	"9 30I013411"	5/9/2008 0:00:00	9/12/1997 0:00:00		"Active"	9/12/1997 0:00:00	9.00	30.00	"CEMEX Construction Materials Pacific LLC"	160200.00	"SqFt"	" 31601 Ortega Hwy"	"San Juan Capistrano"	"California"	92675.00	"Orange"	"Trey Bassette"	"Environmental Manager"	"909-974-5434"		"holmes.bassette@cemex.com"	"Cemex Construction Materials Pacific LLC"	" 3990 Concours Ste 200"	"Ontario"	"California"	91764.00	"Trey Bassette"	"Environmental Manager"	"909-974-5434"		"holmes.bassette@CEMEX.COM"	"Private Business"		" "		"California"		" "			"720-289-2938"																		"N"	"San Juan Creek"	"Brian Mastin"	"VP OF OPERATIVE SUPPORT"	"31-AUG-15 08.56.08.284000 AM"	"3273-Ready-Mixed Concrete"			8/14/2017 12:48:38
214873.00	"Industrial"	"9 30I013802"	5/9/2008 0:00:00	3/13/1998 0:00:00		"Active"	3/13/1998 0:00:00	9.00	30.00	"Capistrano USD Aliso Viejo"	7.00	"Acres"	" 2B Liberty"	"Aliso Viejo"	"California"	92656.00	"Orange"	"Merit Whitney"	"Operations Manager"	"949-234-9923"		"mjwhitney@capousd.org"	"Capistrano USD Aliso Viejo"	" 2B Liberty"	"Aliso Viejo"	"California"	92656.00	"Travis McClure"	"Vehicle Maintenace Manager"	"949-234-9923"		"tlmcclure@capousd.org"	"Other"		" "		"California"		" "			"949-234-9979"																		"N"	"Aliso Creek"	"Carlos Chicas"	"Director of Transportation"	"15-JUN-15 11.47.23.317000 AM"	"4151-School Buses"			8/14/2017 12:48:37
214874.00	"Industrial"	"9 30I013854"	5/9/2008 0:00:00	4/1/1998 0:00:00		"Active"	11/4/2015 0:00:00	9.00	30.00	"Control Components "	8.00	"Acres"	" 22591 Avenida Empresa"	"Rancho Santa Margarita"	"California"	92688.00	"Orange"	"James Herbert"	"Vice President Operations Americas"	"949-858-1877"		"james.herbert@imi-critical.com"	"Control Components "	" 22591 Avenida Empresa"	"Rancho Santa Margarita"	"California"	92688.00	"Douglas Macfarlane"	"EHS Sr Coordinator"	"949-858-1877"		"douglas.macfarlane@imi-critical.com"	"Private Business"		" "		"California"		" "			"949-858-1877"																		"N"	"Arroyo Trabuco Creek"	"Douglas MacFarlane"	"Senior EHS Coordinator"	"04-NOV-15 12.13.33.351000 PM"	"3491-Industrial Valves"			8/14/2017 12:48:37
214877.00	"Industrial"	"9 30I014441"	5/9/2008 0:00:00	7/29/1998 0:00:00		"Active"	7/29/1998 0:00:00	9.00	30.00	"CRR Inc"	6.00	"Acres"	" 31641 Ortega Hwy"	"San Juan Capistrano"	"California"	92675.00	"Orange"	"Larry Mazzarella"	"Maintenance Manager"	"877-728-0446"	"1284"	"larrym@crrmail.com"	"CRR Inc"	" PO Box 1100"	"San Juan Capistrano"	"California"	92693.00	"Larry Mazzarella"	"Maintenance Manager"	"877-728-0446"	"1284"	"larrym@crrmail.com"	"Private Business"		" "		"California"		" "			"877-728-0446"	"1284"																	"N"	"San Juan Creek"	"Larry Mazzarella"	"Maintenance Manager"	"25-JUN-15 11.00.22.047000 AM"	"4214-Local Trucking with Storage"			8/14/2017 12:48:38
214878.00	"Industrial"	"9 30I014449"	5/9/2008 0:00:00	8/3/1998 0:00:00		"Active"	8/3/1998 0:00:00	9.00	30.00	"Tierra Verde Industries LA Pat"	10.00	"Acres"	" 31748 La Pata Ave"	"San Juan Capistrano"	"California"	92675.00	"Orange"	"Darren Ross"		"949-551-3630"		"darren@tierraverdeind.com"	"Tierra Verde Industries "	" PO Box 279"	"Irvine"	"California"	92650.00	"Darren Ross"	"Facility Manager"	"949-551-0363"		"darren@tierraverdeind.com"	"Private Business"		" "		"California"		" "																					"N"	"San Juan Creek"	"Darren Ross"	"Site Manager"	"01-JUL-15 08.47.56.136000 AM"	"2875-Fertilizers, Mixing Only"			8/14/2017 12:48:38
214880.00	"Industrial"	"9 30I015350"	5/9/2008 0:00:00	8/24/1999 0:00:00		"Active"	8/24/1999 0:00:00	9.00	30.00	"MM Prima Deshecha Energy LLC"	1.25	"Acres"	" 32250 LaPata Rd"	"San Juan Capistrano"	"California"	92675.00	"Orange"	"Suparna Chakladar"		"951-833-4153"			"MM Prima Deshecha Energy LLC"	" 5087 Junction Road"	"Lockport"	"California"	14094.00	"Anthony Falbo"		"716-439-1004"		"AFalbo@fortistar.com"	"Private Business"		" "		"New York"		" "			"951-833-4153"																		"N"		"Suparna Chakladar"	"Vice President"	"18-JUN-15 09.29.41.748000 AM"	"4911-Electric Services"			8/14/2017 12:48:38
214882.00	"Industrial"	"9 30I016059"	5/9/2008 0:00:00	8/30/2000 0:00:00		"Active"	8/30/2000 0:00:00	9.00	30.00	"Farino Construction Services "	16000.00	"SqFt"	" 23282 Olive Ave"	"Lake Forest"	"California"	92630.00	"Orange"	"Richard A Farino"		"949-968-8000"			"Farino Construction Services"	" 23201 Orange Ave"	"Lake Forest"	"California"	92630.00	"Richard A Farino"	"President"	"949-768-8000"		"Rick@Farinocompanies.com"	"Private Business"		" "		"California"		" "			"949-968-8000"																		"N"	"Munger Creek"	"Richard Farino"	"President"	"29-JUN-15 12.18.58.057000 PM"	"3271-Concrete Block and Brick"			8/14/2017 12:48:38
214883.00	"Industrial"	"9 30I016342"	5/9/2008 0:00:00	2/7/2001 0:00:00	8/10/2017 0:00:00	"Terminated"	8/10/2017 0:00:00	9.00	30.00	"San Clemente Auto Wrecking "	15000.00	"SqFt"	" 1520 De La Estrella"	"San Clemente"	"California"	92672.00	"Orange"	"Ron Perugini Salvador Flores"	"Members"	"949-492-6121"		"scautoron@yahoo.com"	"San Clemente Auto Wrecking"	" 1520 Adenita De La Estrella"	"San Clemente"	"California"	92672.00	"Ron Perugini Salvador Flores"	"Members"	"949-492-6121"		"scautoron@yahoo.com"	"Private Business"		" "		"California"		" "			"949-492-6121"																		"N"	"Segunda Deshecha Creek"	"ronald perugini"	"member"	"02-JUN-15 07.27.56.619000 AM"	"5015-Motor Vehicle Parts, Used"			8/14/2017 12:48:37
214884.00	"Industrial"	"9 30I016602"	5/9/2008 0:00:00	7/2/2001 0:00:00	6/8/2016 0:00:00	"Terminated"	6/8/2016 0:00:00	9.00	30.00	"3A Treatment Plant"	1.00	"Acres"	" 26801 Camino Capistrano"	"Laguna Niguel"	"California"	92677.00	"Orange"	"Brennon Flahive"	"Director of Environmental Compliance"	"949-234-5419"		"bflahive@socwa.com"	"South Orange Cnty Wastewater Authority"	" 34156 Del Obispo St"	"Dana Point"	"California"	92629.00	"Jim Burror"	"Director of Operations"	"949-234-5402"		"jburror@socwa.com"	"Other"		" "		"California"		" "																					"N"	"La Paz Creek"	"Brennon Flahive"	"Director of Environmental Compliance"	"11-JUN-15 04.31.38.583000 PM"	"4952-Sewerage Systems"			8/14/2017 12:48:38
209129.00	"Industrial"	"9 30I017498"	5/9/2008 0:00:00	9/25/2002 0:00:00		"Active"	9/25/2002 0:00:00	9.00	30.00	"Oakley Inc"	41.00	"Acres"	" 1 Icon"	"Foothill Ranch"	"California"	92610.00	"Orange"	"Nia  Christoforakis"	"Director EHS"	"949-829-6304"		"achristoforakis@oakley.com"	"Oakley Inc"	" 1 Icon"	"Foothill Ranch"	"California"	92610.00	"Nia  Christoforakis"	"Director EHS"	"949-829-6304"		"achristoforakis@oakley.com"	"Private Business"		" "		"California"		" "			"847-305-9919"																		"N"	"Aliso Creek"	"Nia Christoforakis"	"Director EHS"	"02-APR-15 10.04.40.728000 AM"	"3851-Ophthalmic Goods"			8/14/2017 12:48:37
291304.00	"Industrial"	"9 30I019175"	5/9/2008 0:00:00	12/7/2004 0:00:00		"Terminated"	2/8/2006 0:00:00	9.00	30.00	"DHL Express "	159535.00	"SqFt"	" 25958 Commercentre Dr"	"Lake Forest"	"California"	92630.00	"Orange"	"Beverly Ottey"		"947704879"			"DHL Express USA Inc"	" 1210 S Pine Island Rd"	"Plantation"	"Florida"	33324.00	"Steve Cole"		"909-605-2028"			"Private Business"		" "		"Florida"		" "			"949-770-4338"																			"Serrano Creek"	"Mr Robert Whitaker"	"Dhl Treasurer"	"19-OCT-04 12.00.00.000000 AM"	"4215-Courier Services Except by Air"			8/14/2017 12:48:38
291330.00	"Industrial"	"9 30I019513"	5/9/2008 0:00:00	5/16/2005 0:00:00		"Active"	5/16/2005 0:00:00	9.00	30.00	"Forespar Products Corp "	1.00	"Acres"	" 22322 Gilberto"	"Rancho Santa Margarita"	"California"	92688.00	"Orange"	"John  Dean"	"Plant Manager"	"949-858-8820"		"johnd@forespar.com"	"Robert Foresman "	" 22322 Gilberto"	"Rancho Santa Margarita"	"California"	92688.00	"John Dean"	"Plant Manager"	"949-858-8820"		"johnd@forespar.com"	"Private Business"		" "		"California"		" "			"949-858-8820"																		"N"	"Trabuco Creek"	"John Dean"	"Facility Manager"	"25-JUN-15 09.34.39.535000 AM"	"3499-Fabricated Metal Products, NEC"			8/14/2017 12:48:38
